"baby_id","ID_testdate","gender","study_name","age_days","age_months_binned","age_continuous","lang_group","lang_exp_eng","lang_exp_fre","lang_exp_other","lang_dom","cdi_filled_by","both_cdi_filled","required_cdi_filled","eng_cdi_filled","fre_cdi_filled","dom_cdi_filled","cdi_available","number_of_te","eng_unique_words","fre_unique_words","date_of_test","visit_num","multiple_visits","total_keeper_visits","years_education","firstborn","balance","balance_group","participant_id","exclude.language","exclude.age","concept_vocab","total_words_eng","total_words_fre","word_vocab","age_month_decimal","BalanceGroup_byExposure","TotalNW_Dom_exposure","TotalNW_NonDom_exposure","Dom_unique_words_exposure","NonDom_unique_words_exposure","LangDom_vocab","TotalNW_Dom","TotalNW_NonDom","Dom_unique_words","NonDom_unique_words","TotalUnique","balance_vocab","propTE","propTE_CDI"
"347","347_2011-12-12","M","Prime24",668,21,21.96,"bilingual",39,61,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",29,35,34,2011-12-12,1,FALSE,1,16,"n",39,"60_40",166,0,0,98,64,63,127,22.2666666666667,"60_40",63,64,34,35,"English",64,63,35,34,69,0.503937007874016,0.456692913385827,0.0431547619047619
"397","397_2012-02-05","M","Mix20",641,21,21.07,"bilingual",55,45,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",16,15,12,2012-02-05,1,TRUE,2,21,"y",45,"50_50",153,0,0,43,31,28,59,21.3666666666667,"50_50",31,28,15,12,"English",31,28,15,12,27,0.525423728813559,0.542372881355932,0.0238095238095238
"404","404_2012-02-05","M","Mix20",639,21,21.01,"bilingual",26,74,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",114,15,219,2012-02-05,1,TRUE,2,16,"y",26,"70_30",294,0,0,348,129,333,462,21.3,"80_20",333,129,219,15,"French",333,129,219,15,234,0.720779220779221,0.493506493506494,0.169642857142857
"351","351_2012-02-25","F","Mix20",620,20,20.38,"bilingual",67,34,0,"English","Father","Y","Y","Y","Y","Y","bothFilled",7,7,22,2012-02-25,1,FALSE,1,16,"y",33.5,"60_40",217,0,0,36,14,29,43,20.6666666666667,"70_30",14,29,7,22,"French",29,14,22,7,29,0.674418604651163,0.325581395348837,0.0104166666666667
"843","843_2012-03-03","F","BiAEM22",674,22,22.16,"bilingual",26,74,0,"French","Mother and Father","Y","Y","Y","Y","Y","bothFilled",82,148,35,2012-03-03,1,FALSE,1,NA,"y",26,"70_30",165,0,0,265,230,117,347,22.4666666666667,"80_20",117,230,35,148,"English",230,117,148,35,183,0.662824207492795,0.472622478386167,0.12202380952381
"180","180_2012-03-03","M","Mix20",632,20,20.78,"bilingual",54.5,45.5,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",32,58,23,2012-03-03,1,FALSE,1,18,"n",45.5,"50_50",603,0,0,113,90,55,145,21.0666666666667,"50_50",90,55,58,23,"English",90,55,58,23,81,0.620689655172414,0.441379310344828,0.0476190476190476
"781","781_2012-03-10","F","BiAEM22",690,22,22.68,"bilingual",60,40,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",9,53,29,2012-03-10,1,FALSE,1,NA,"n",40,"60_40",480,0,0,91,62,38,100,23,"60_40",62,38,53,29,"English",62,38,53,29,82,0.62,0.18,0.0133928571428571
"1072","1072_2012-03-19","F","Mix20",657,21,21.6,"bilingual",50,50,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",120,86,90,2012-03-19,1,FALSE,1,18,"n",50,"50_50",391,0,0,296,206,210,416,21.9,"50_50",210,206,90,86,"French",210,206,90,86,176,0.504807692307692,0.576923076923077,0.178571428571429
"1411","1411_2012-03-24","F","BiAEM22",685,22,22.52,"bilingual",49,51,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",224,127,88,2012-03-24,1,TRUE,2,16,"y",49,"50_50",196,0,0,439,351,312,663,22.8333333333333,"50_50",312,351,88,127,"English",351,312,127,88,215,0.529411764705882,0.675716440422323,0.333333333333333
"907","907_2012-03-31","M","Mix20",638,20,20.98,"bilingual",68,32,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",9,50,5,2012-03-31,1,FALSE,1,16,"n",32,"60_40",178,0,0,64,59,14,73,21.2666666666667,"70_30",59,14,50,5,"English",59,14,50,5,55,0.808219178082192,0.246575342465753,0.0133928571428571
"908","908_2012-03-31","F","Mix20",638,20,20.98,"bilingual",68,32,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",15,51,16,2012-03-31,1,FALSE,1,16,"n",32,"60_40",362,0,0,82,66,31,97,21.2666666666667,"70_30",66,31,51,16,"English",66,31,51,16,67,0.680412371134021,0.309278350515464,0.0223214285714286
"711","711_2012-04-10","F","Mix20",642,21,21.11,"bilingual",73,27,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",113,225,16,2012-04-10,1,FALSE,1,NA,"y",27,"70_30",286,0,0,354,338,129,467,21.4,"80_20",338,129,225,16,"English",338,129,225,16,241,0.723768736616702,0.483940042826552,0.168154761904762
"712","712_2012-04-10","F","Mix20",642,21,21.11,"bilingual",73,27,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",112,227,16,2012-04-10,1,FALSE,1,NA,"y",27,"70_30",121,0,0,355,339,128,467,21.4,"80_20",339,128,227,16,"English",339,128,227,16,243,0.725910064239829,0.4796573875803,0.166666666666667
"108","108_2012-05-10","F","Mix20",640,21,21.04,"bilingual",63.5,36.5,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",23,71,9,2012-05-10,1,TRUE,2,18,"n",36.5,"60_40",244,0,0,103,94,32,126,21.3333333333333,"70_30",94,32,71,9,"English",94,32,71,9,80,0.746031746031746,0.365079365079365,0.0342261904761905
"1411","1411_2012-05-12","F","Prime24",734,24,24.13,"bilingual",43,57,0,"French","Father","Y","Y","Y","Y","Y","bothFilled",338,193,45,2012-05-12,2,TRUE,2,18,"y",43,"50_50",196,0,0,576,531,383,914,24.4666666666667,"60_40",383,531,45,193,"English",531,383,193,45,238,0.580962800875274,0.739606126914661,0.50297619047619
