"","Age_month","V","B","W","D","N","TE","Du","Nu","C"
"Age_month",1,0.95,0.24,0.65,0.69,0.45,0.48,0.64,0.19,0.69
"V",0.95,1,0.23,0.61,0.65,0.43,0.44,0.62,0.21,0.66
"B",0.24,0.23,1,0.07,0.29,-0.35,-0.25,0.58,-0.63,0.21
"W",0.65,0.61,0.07,1,0.96,0.87,0.9,0.74,0.44,0.98
"D",0.69,0.65,0.29,0.96,1,0.7,0.76,0.89,0.23,0.99
"N",0.45,0.43,-0.35,0.87,0.7,1,0.99,0.32,0.72,0.76
"TE",0.48,0.44,-0.25,0.9,0.76,0.99,1,0.39,0.6,0.8
"Du",0.64,0.62,0.58,0.74,0.89,0.32,0.39,1,-0.09,0.86
"Nu",0.19,0.21,-0.63,0.44,0.23,0.72,0.6,-0.09,1,0.33
"C",0.69,0.66,0.21,0.98,0.99,0.76,0.8,0.86,0.33,1
