"" "age_continuous" "balance_vocab" "word_vocab" "number_of_te" "TotalNW_Dom" "TotalNW_NonDom" "Dom_unique_words" "NonDom_unique_words" "TotalUnique" "concept_vocab"
"age_continuous" 1 -0.214425797519531 0.647775558451106 0.476012002203186 0.686531886317422 0.449861849354727 0.644009905503057 0.187460532240989 0.675002849234048 0.685999647861753
"balance_vocab" -0.214425797519531 1 -0.0536749754104656 0.251348127634867 -0.274529720325449 0.351148801740877 -0.559757433889845 0.65468758097707 -0.454269750068034 -0.193331134921416
"word_vocab" 0.647775558451106 -0.0536749754104656 1 0.903927458532052 0.961214061999598 0.870469798527482 0.739194551319974 0.435222281874542 0.810409358223538 0.979643822418586
"number_of_te" 0.476012002203186 0.251348127634867 0.903927458532052 1 0.757029232242959 0.986437977196547 0.385046673046204 0.596189981746221 0.481985537131606 0.799671774562029
"TotalNW_Dom" 0.686531886317422 -0.274529720325449 0.961214061999598 0.757029232242959 1 0.700951346326072 0.89449502553698 0.22725420720979 0.93217855474259 0.994141257685816
"TotalNW_NonDom" 0.449861849354727 0.351148801740877 0.870469798527482 0.986437977196547 0.700951346326072 1 0.315116820295117 0.719878696243012 0.432020345317523 0.75906546803052
"Dom_unique_words" 0.644009905503057 -0.559757433889845 0.739194551319974 0.385046673046204 0.89449502553698 0.315116820295117 1 -0.0869494455359646 0.986897072494154 0.857041297463923
"NonDom_unique_words" 0.187460532240989 0.65468758097707 0.435222281874542 0.596189981746221 0.22725420720979 0.719878696243012 -0.0869494455359646 1 0.0749298374915112 0.331183360595849
"TotalUnique" 0.675002849234048 -0.454269750068034 0.810409358223538 0.481985537131606 0.93217855474259 0.432020345317523 0.986897072494154 0.0749298374915112 1 0.911520960560891
"concept_vocab" 0.685999647861753 -0.193331134921416 0.979643822418586 0.799671774562029 0.994141257685816 0.75906546803052 0.857041297463923 0.331183360595849 0.911520960560891 1
