"","Age_month","V","B","W","D","N","TE","Du","Nu","C"
"Age_month",1,0.953,-0.241,0.648,0.687,0.45,0.476,0.644,0.187,0.686
"V",0.953,1,-0.229,0.615,0.652,0.426,0.442,0.619,0.214,0.656
"B",-0.241,-0.229,1,-0.066,-0.291,0.348,0.254,-0.584,0.627,-0.212
"W",0.648,0.615,-0.066,1,0.961,0.87,0.904,0.739,0.435,0.98
"D",0.687,0.652,-0.291,0.961,1,0.701,0.757,0.894,0.227,0.994
"N",0.45,0.426,0.348,0.87,0.701,1,0.986,0.315,0.72,0.759
"TE",0.476,0.442,0.254,0.904,0.757,0.986,1,0.385,0.596,0.8
"Du",0.644,0.619,-0.584,0.739,0.894,0.315,0.385,1,-0.087,0.857
"Nu",0.187,0.214,0.627,0.435,0.227,0.72,0.596,-0.087,1,0.331
"C",0.686,0.656,-0.212,0.98,0.994,0.759,0.8,0.857,0.331,1
