"baby_id","ID_testdate","gender","study_name","age_days","age_months_binned","age_continuous","vocab_type","vocab_score","vocab_cross_lang","vocab_type_dom","lang_group","lang_exp_eng","lang_exp_fre","lang_exp_other","lang_dom","cdi_filled_by","n_administrations","both_cdi_filled","required_cdi_filled","eng_cdi_filled","fre_cdi_filled","dom_cdi_filled","cdi_available","number_of_te","eng_unique_words","fre_unique_words","date_of_test","visit_num","multiple_visits","total_keeper_visits","years_education","firstborn","balance","balance_group","participant_id","exclude.age","exclude.language"
"347","347_2011-12-12","M","Prime24",668,21,21.96,"word_vocab",127,"combined","word_vocab","bilingual",39,61,0,"French","Mother",NA,"Y","Y","Y","Y","Y","bothFilled",29,35,34,2011-12-12,1,FALSE,1,16,"n",39,"60_40",166,0,0
"347","347_2011-12-12","M","Prime24",668,21,21.96,"concept_vocab",98,"combined","concept_vocab","bilingual",39,61,0,"French","Mother",NA,"Y","Y","Y","Y","Y","bothFilled",29,35,34,2011-12-12,1,FALSE,1,16,"n",39,"60_40",166,0,0
"347","347_2011-12-12","M","Prime24",668,21,21.96,"total_words_eng",64,"single","TotalNW_NonDom","bilingual",39,61,0,"French","Mother",1,"Y","Y","Y","Y","Y","bothFilled",29,35,34,2011-12-12,1,FALSE,1,16,"n",39,"60_40",166,0,0
"347","347_2011-12-12","M","Prime24",668,21,21.96,"total_words_fre",63,"single","TotalNW_Dom","bilingual",39,61,0,"French","Mother",1,"Y","Y","Y","Y","Y","bothFilled",29,35,34,2011-12-12,1,FALSE,1,16,"n",39,"60_40",166,0,0
"397","397_2012-02-05","M","Mix20",641,21,21.07,"word_vocab",59,"combined","word_vocab","bilingual",55,45,0,"English","Mother",NA,"Y","Y","Y","Y","Y","bothFilled",16,15,12,2012-02-05,1,TRUE,2,21,"y",45,"50_50",153,0,0
"397","397_2012-02-05","M","Mix20",641,21,21.07,"concept_vocab",43,"combined","concept_vocab","bilingual",55,45,0,"English","Mother",NA,"Y","Y","Y","Y","Y","bothFilled",16,15,12,2012-02-05,1,TRUE,2,21,"y",45,"50_50",153,0,0
"397","397_2012-02-05","M","Mix20",641,21,21.07,"total_words_eng",31,"single","TotalNW_Dom","bilingual",55,45,0,"English","Mother",1,"Y","Y","Y","Y","Y","bothFilled",16,15,12,2012-02-05,1,TRUE,2,21,"y",45,"50_50",153,0,0
"397","397_2012-02-05","M","Mix20",641,21,21.07,"total_words_fre",28,"single","TotalNW_NonDom","bilingual",55,45,0,"English","Mother",1,"Y","Y","Y","Y","Y","bothFilled",16,15,12,2012-02-05,1,TRUE,2,21,"y",45,"50_50",153,0,0
"351","351_2012-02-25","F","Mix20",620,20,20.38,"word_vocab",43,"combined","word_vocab","bilingual",67,34,0,"English","Father",NA,"Y","Y","Y","Y","Y","bothFilled",7,7,22,2012-02-25,1,FALSE,1,16,"y",33.5,"60_40",217,0,0
"351","351_2012-02-25","F","Mix20",620,20,20.38,"concept_vocab",36,"combined","concept_vocab","bilingual",67,34,0,"English","Father",NA,"Y","Y","Y","Y","Y","bothFilled",7,7,22,2012-02-25,1,FALSE,1,16,"y",33.5,"60_40",217,0,0
"351","351_2012-02-25","F","Mix20",620,20,20.38,"total_words_eng",14,"single","TotalNW_Dom","bilingual",67,34,0,"English","Father",1,"Y","Y","Y","Y","Y","bothFilled",7,7,22,2012-02-25,1,FALSE,1,16,"y",33.5,"60_40",217,0,0
"351","351_2012-02-25","F","Mix20",620,20,20.38,"total_words_fre",29,"single","TotalNW_NonDom","bilingual",67,34,0,"English","Father",1,"Y","Y","Y","Y","Y","bothFilled",7,7,22,2012-02-25,1,FALSE,1,16,"y",33.5,"60_40",217,0,0
"843","843_2012-03-03","F","BiAEM22",674,22,22.16,"word_vocab",347,"combined","word_vocab","bilingual",26,74,0,"French","Mother and Father",NA,"Y","Y","Y","Y","Y","bothFilled",82,148,35,2012-03-03,1,FALSE,1,NA,"y",26,"70_30",165,0,0
"180","180_2012-03-03","M","Mix20",632,20,20.78,"word_vocab",145,"combined","word_vocab","bilingual",54.5,45.5,0,"English","Mother",NA,"Y","Y","Y","Y","Y","bothFilled",32,58,23,2012-03-03,1,FALSE,1,18,"n",45.5,"50_50",603,0,0
"843","843_2012-03-03","F","BiAEM22",674,22,22.16,"concept_vocab",265,"combined","concept_vocab","bilingual",26,74,0,"French","Mother and Father",NA,"Y","Y","Y","Y","Y","bothFilled",82,148,35,2012-03-03,1,FALSE,1,NA,"y",26,"70_30",165,0,0
