"","Age_month","LEARNABLE","BALANCE","WORD","DOM","NONDOM","TE","DOM-SINGLET","NONDOM-SINGLET","CONCEPT"
"Age_month",1,0.964,-0.242,0.651,0.69,0.452,0.479,0.647,0.187,0.69
"LEARNABLE",0.964,1,-0.234,0.624,0.663,0.431,0.449,0.629,0.209,0.665
"BALANCE",-0.242,-0.234,1,-0.066,-0.29,0.348,0.255,-0.584,0.627,-0.211
"WORD",0.651,0.624,-0.066,1,0.961,0.87,0.904,0.739,0.437,0.98
"DOM",0.69,0.663,-0.29,0.961,1,0.701,0.757,0.894,0.229,0.994
"NONDOM",0.452,0.431,0.348,0.87,0.701,1,0.986,0.314,0.721,0.759
"TE",0.479,0.449,0.255,0.904,0.757,0.986,1,0.384,0.597,0.799
"DOM-SINGLET",0.647,0.629,-0.584,0.739,0.894,0.314,0.384,1,-0.086,0.857
"NONDOM-SINGLET",0.187,0.209,0.627,0.437,0.229,0.721,0.597,-0.086,1,0.332
"CONCEPT",0.69,0.665,-0.211,0.98,0.994,0.759,0.799,0.857,0.332,1
