"age_months_percentile","EngWS_90percentile","FrWS_90percentile","Average_90percentile"
16,119.235935122871,100.855356000971,110.045645561921
17,191.951568324828,162.273724687917,177.112646506373
18,259.369803072663,220.11344797774,239.741625525201
19,321.490639366375,274.37452587044,297.932582618408
20,378.314077205965,325.056958366018,351.685517785992
21,429.840116591433,372.160745464473,401.000431027953
22,476.068757522779,415.685887165806,445.877322344293
23,517.000000000004,455.632383470016,486.31619173501
24,552.635457188742,492.000234377103,522.317845782923
25,583.291381680536,524.789439887068,554.040410783802
26,609.929493540296,553.99999999991,581.964746770103
27,633.000000000082,579.63191471563,606.315957357856
28,652.512929155076,601.685184034228,627.099056594652
29,668.468281005276,620.159807955703,644.314044480489
30,680.866055550683,635.055786480055,657.960921015369
